Índice de precios al consumidor. Resultados correspondientes al Gran Buenos Aires,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Índices correspondientes a los meses de abril de 2016 a mayo de 2017, según capítulos de la canasta",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Nivel general y capítulos,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00
,,,,,,,,,,,,,,
Nivel general,100,104.1934,107.3982,109.5964,109.8178,111.0797,113.7005,115.5407,116.9243,118.4595,121.3774,124.2469,127.5192,129.1554
,,,,,,,,,,,,,,
Alimentos y Bebidas,100,103.7253,106.9962,109.883,110.6203,113.1098,114.8273,117.046,118.48,120.3565,122.604,126.2553,129.0814,130.5849
Indumentaria,100,102.2519,102.5477,101.7606,102.5658,107.5541,111.3889,112.7718,112.7317,110.2413,109.6503,114.931,120.808,121.5322
Vivienda y servicios básicos,100,105.2146,112.6488,113.5976,107.2311,101.496,112.3668,114.042,115.7687,115.7469,125.4981,128.2434,134.1632,136.6601
Equipamiento y mantenimiento del hogar,100,102.8962,107.7117,110.3122,111.1601,111.6145,112.139,115.0193,117.3077,118.3744,118.9039,120.022,121.3,124.909
Atención médica y gastos para la salud,100,101.7064,108.7967,111.1044,114.5393,115.8011,119.741,121.6341,122.6618,124.325,128.4221,130.8276,132.7094,134.6678
Transporte y comunicaciones,100,105.5556,106.6851,108.1615,109.0711,109.9119,109.8369,111.3998,112.847,115.4266,118.1171,119.5774,122.1688,123.2106
Esparcimiento,100,101.9762,102.2779,107.3988,106.7232,108.7186,109.5667,110.2999,112.4742,117.767,117.5336,117.8475,120.8102,121.6595
Educación ,100,103.1976,105.4781,108.0229,110.4858,110.8696,112.0311,112.9458,113.708,114.5291,119.1371,125.8157,129.9028,132.1902
Otros bienes y servicios,100,116.0517,117.6834,119.2499,120.3678,123.4188,125.1453,127.4509,128.646,129.7823,134.7491,136.5517,139.5853,141.3542
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Índices correspondientes a los meses de abril de 2016 a mayo de 2017, según clasificación de grupos",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Apertura,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00
,,,,,,,,,,,,,,
Nivel general,100,104.1934,107.3982,109.5964,109.8178,111.0797,113.7005,115.5407,116.9243,118.4595,121.3774,124.2469,127.5192,129.1554
,,,,,,,,,,,,,,
Estacionales,100,104.2846,107.1249,110.8176,106.0321,110.3866,112.5409,113.021,111.2892,113.0211,113.6022,117.8319,120.786,120.1966
Regulados,100,108.7397,112.456,114.5889,112.5655,111.0401,115.7365,117.9163,119.0425,120.3845,126.6004,130.8124,135.5883,137.1566
Núcleo,100,102.6578,105.7503,107.7294,109.5087,111.2047,113.2062,115.152,117.1239,118.692,120.8831,123.0844,125.9049,127.9225
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Índices correspondientes a los meses de abril de 2016 a mayo de 2017, según bienes y servicios",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Apertura,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00
,,,,,,,,,,,,,,
Nivel general,100,104.1934,107.3982,109.5964,109.8178,111.0797,113.7005,115.5407,116.9243,118.4595,121.3774,124.2469,127.5192,129.1554
,,,,,,,,,,,,,,
Bienes ,100,104.7572,107.0162,108.5951,109.4579,111.9206,113.4316,114.8298,115.5019,116.6806,118.3656,121.4841,124.4362,125.9381
Servicios,100,103.3456,107.9726,111.102,110.3589,109.8155,114.1047,116.6095,119.063,121.1343,125.9058,128.4009,132.1547,133.9929
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Índices correspondientes a los meses de abril de 2016 a mayo de 2017, según principales aperturas",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Principales aperturas,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00
,,,,,,,,,,,,,,
Nivel general,100,104.1934,107.3982,109.5964,109.8178,111.0797,113.7005,115.5407,116.9243,118.4595,121.3774,124.2469,127.5192,129.1554
,,,,,,,,,,,,,,
Alimentos y Bebidas,100,103.7253,106.9962,109.883,110.6203,113.1098,114.8273,117.046,118.48,120.3565,122.604,126.2553,129.0814,130.5849
Alimentos para consumir en el hogar,100,104.1141,107.5803,110.3267,110.348,112.5137,113.5504,114.6488,115.0339,116.721,119.0643,123.1393,126.0431,127.1847
"Productos de panificación, cereales y pastas",100,102.5584,106.4139,108.0318,110.3319,112.572,113.8183,114.6116,116.3563,118.1322,120.7195,124.0408,126.5987,127.7178
Carnes ,100,101.148,102.1941,103.3382,104.7596,106.6224,108.0043,108.3023,109.6388,108.8092,109.0952,114.5338,117.4276,118.5091
Aceites y grasas,100,104.1735,115.5739,134.7664,148.3017,155.3497,159.9289,161.8856,165.236,166.8511,167.8215,169.8714,171.1815,171.6408
Productos lácteos y huevos,100,108.337,111.1343,113.4141,115.7484,117.5439,120.6622,122.4683,124.3225,126.9424,130.4883,133.7008,140.3271,143.4825
Frutas,100,89.6635,89.2432,92.5049,93.4777,95.0486,99.1131,102.4702,104.2798,108.0261,109.0597,106.6718,103.6061,107.4242
Verduras,100,120.4065,133.8119,142.983,126.5913,129.1914,121.7947,119.844,106.2858,111.2401,118.921,128.1033,129.1165,126.2661
"Azúcar, miel, dulces y cacao",100,102.6439,104.7016,106.0939,108.4052,112.9854,115.3896,117.5154,119.5149,122.2825,124.2663,126.641,128.8929,130.6982
Comidas listas para llevar,100,102.6475,106.4805,109.0049,110.5023,112.6613,114.8736,119.1155,123.8265,127.2925,129.8405,131.7885,135.3615,135.8896
Bebidas e infusiones para consumir en el hogar,100,104.4239,107.1789,110.4221,114.1325,118.9832,124.056,131.295,135.8474,137.6814,139.1528,142.2718,144.9572,147.7042
Bebidas no alcohólicas,100,102.9342,105.2165,107.1383,109.885,115.5536,120.754,129.2247,133.4446,135.3878,135.7203,139.0222,141.8615,144.1376
Bebidas alcohólicas ,100,108.1436,112.241,118.9401,126.5108,131.1838,137.8679,145.7769,152.5918,154.3496,157.3445,160.5786,163.2001,167.4206
Infusiones,100,103.0008,105.0199,106.7268,106.972,109.3421,111.1595,113.0216,114.7504,116.3448,119.0381,121.3317,123.6034,125.3796
Alimentos y bebidas consumidos fuera del hogar,100,102.1116,105.0254,108.1764,109.657,111.9505,114.098,117.2858,120.4555,122.9623,125.3084,127.8782,130.5285,132.5429
Indumentaria,100,102.2519,102.5477,101.7606,102.5658,107.5541,111.3889,112.7718,112.7317,110.2413,109.6503,114.931,120.808,121.5322
Ropa,100,102.5963,102.7736,101.2901,101.5774,107.6314,112.3885,113.6839,113.1225,109.588,108.2581,115.067,121.8882,122.7584
Ropa interior,100,102.6303,104.8601,107.8215,109.3357,111.015,112.3613,113.8479,115.0864,116.9457,119.7268,122.9277,126.505,128.1649
Ropa exterior,100,102.5922,102.5262,100.5158,100.6577,107.2303,112.3917,113.6645,112.8897,108.7158,106.8985,114.1351,121.3409,122.1175
Calzado,100,101.2398,101.6766,102.2731,104.3605,107.3454,109.205,110.9304,112.1734,111.605,112.2416,113.9386,117.9017,118.2517
Vivienda y servicios básicos,100,105.2146,112.6488,113.5976,107.2311,101.496,112.3668,114.042,115.7687,115.7469,125.4981,128.2434,134.1632,136.6601
Alquiler de la vivienda,100,101.8813,104.3065,106.6453,109.7874,112.2014,115.3335,117.3909,119.3361,121.8223,125.2906,127.7892,130.5757,133.4766
Servicios básicos y combustibles para la vivienda,100,110.9402,117.67,118.3327,99.8346,85.124,107.1703,109.5796,109.4898,109.4617,123.7472,136.1401,149.3626,153.0469
Reparaciones y gastos comunes de la vivienda,100,102.4596,115.5233,115.4154,112.498,108.2269,114.9242,115.4558,118.8756,116.4119,127.5381,120.3993,121.7138,122.5702
Equipamiento y mantenimiento del hogar,100,102.8962,107.7117,110.3122,111.1601,111.6145,112.139,115.0193,117.3077,118.3744,118.9039,120.022,121.3,124.909
Equipamiento del hogar,100,101.4612,102.8116,103.5697,104.6557,105.7153,105.8752,106.8934,107.5397,109.0262,108.6207,109.6302,111.4873,112.0247
Mantenimiento del hogar,100,103.7904,110.7649,114.5134,115.2129,115.2902,116.0419,120.0824,123.394,124.1992,125.3112,126.497,127.4142,132.9371
Productos y utensilios de limpieza,100,103.3152,105.1012,106.6976,107.7352,109.2808,110.6976,111.5593,113.2582,114.8614,116.9377,119.3043,121.1245,123.2469
Servicios para el hogar,100,104.2938,116.8855,122.897,123.1204,121.9104,122.1427,129.5645,134.674,135.0443,135.4722,135.7636,136.0851,145.4599
Atención médica y gastos para la salud,100,101.7064,108.7967,111.1044,114.5393,115.8011,119.741,121.6341,122.6618,124.325,128.4221,130.8276,132.7094,134.6678
Productos medicinales y accesorios terapéuticos,100,103.7309,109.6379,109.3479,112.824,115.0069,117.0746,119.1031,120.5083,123.0225,125.8768,129.4668,132.3615,135.923
Servicios para la salud,100,100.0054,108.0899,112.5803,115.9805,116.4684,121.9813,123.7606,124.4711,125.4193,130.5607,131.971,133.0017,133.6131
Transporte y comunicaciones,100,105.5556,106.6851,108.1615,109.0711,109.9119,109.8369,111.3998,112.847,115.4266,118.1171,119.5774,122.1688,123.2106
Transporte,100,106.2182,107.053,107.8242,108.1701,108.9656,109.0866,109.9583,110.234,112.3385,114.4659,115.5337,116.6339,117.9173
Transporte público de pasajeros,100,109.0695,109.0198,109.3897,109.6019,109.8486,110.009,112.8566,113.9571,114.1951,114.4374,114.8778,115.1702,115.6626
Adquisición de vehículos,100,100.018,99.6875,99.3842,99.782,100.9836,101.3865,100.2052,99.2401,101.9867,102.7492,102.2783,102.706,104.8726
