Índice de precios al consumidor. Resultados correspondientes al Gran Buenos Aires,,,,,,,,,
,,,,,,,,,
"Índices correspondientes a los meses de abril de 2016 a diciembre de 2016, según principales aperturas",,,,,,,,,
,,,,,,,,,
Descripción,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00
,,,,,,,,,
Nivel general,85.5254,89.1118,91.8528,93.7328,93.9221,95.0014,97.2428,98.8166,100
,,,,,,,,,
Alimentos y bebidas no alcohólicas,86.4212,89.9991,92.8351,95.1422,95.2368,97.3853,98.5102,99.75,100
Alimentos,87.7467,91.5187,94.5339,96.9725,96.8252,98.7308,99.512,100.1337,100
Pan y cereales,85.9429,88.1417,91.4552,92.8457,94.8225,96.7477,97.8188,98.5005,100
Carnes y derivados,90.89,92.0843,93.0878,94.158,95.6132,97.2579,98.4812,98.7884,100
"Leche, productos lácteos y huevos",80.8379,88.1301,90.5015,92.2857,93.7853,94.8244,97.1898,98.5681,100
"Aceites, grasas y manteca",63.1921,66.8227,72.4687,81.6507,89.6774,93.7676,96.8425,98.5744,100
Frutas,95.8959,85.9836,85.5806,88.7084,89.6413,91.1477,95.0454,98.2647,100
"Verduras, tubérculos y legumbres",94.086,113.2856,125.8982,134.5269,119.1046,121.5509,114.5917,112.7564,100
"Azúcar, dulces, chocolate, golosinas, etc.",82.6484,84.3018,85.8211,86.9822,89.2326,93.529,96.0509,97.8214,100
Bebidas no alcohólicas,77.7406,80.0475,81.7109,83.1561,84.8349,88.5742,91.9496,97.2374,100
"Café, té, yerba y cacao",87.7371,90.4293,91.9256,93.3889,93.7141,95.6396,97.1547,98.6626,100
Bebidas alcohólicas y tabaco,63.6371,82.4693,84.325,86.2302,88.7153,92.3307,94.2334,97.8577,100
Bebidas alcohólicas,65.5343,70.8711,73.5564,77.9466,82.908,85.9704,90.3508,95.5339,100
Tabaco,62.1821,91.3644,92.5837,92.5831,93.1691,97.2087,97.2111,99.6398,100
Prendas de vestir y calzado,88.575,90.5764,90.8905,90.2628,90.9888,95.3605,98.7205,99.9637,100
Prendas de vestir y materiales,88.415,90.7108,90.9702,89.9444,90.267,95.2387,99.1661,100.3172,100
Calzado,89.0461,90.1804,90.6559,91.2008,93.115,95.7194,97.4081,98.9222,100
"Vivienda, agua, electricidad, gas y otros combustibles",86.3791,90.8834,97.305,98.1246,92.6253,87.6714,97.0615,98.5085,100
Alquiler de la vivienda y gastos conexos,82.1974,83.951,91.7397,92.9553,92.6224,91.2819,96.3018,97.6087,100
Mantenimiento y reparación de la vivienda,92.2973,94.4611,95.1898,94.7362,96.6754,98.3542,98.3595,98.3625,100
"Electricidad, gas y otros combustibles",108.1427,109.5143,108.6536,109.0294,88.0829,69.9261,97.1371,100.1109,100
Equipamiento y mantenimiento del hogar,85.3232,87.7981,91.9257,94.1324,94.8352,95.191,95.6143,98.092,100
bienes y servicios para la conservación del hogar,80.031,83.1524,89.3701,92.5808,93.0157,92.9995,93.5954,97.1991,100
Salud,81.525,82.9161,88.6965,90.5779,93.3781,94.4068,97.6188,99.1622,100
"Productos medicinales, artefactos y equipos para la salud",82.9818,86.0778,90.9796,90.7389,93.6234,95.4348,97.1506,98.8339,100
Transporte,90.5398,96.0543,96.7934,97.651,97.7657,98.5274,98.678,99.2062,100
Adquisición de vehículos,100.7657,100.7838,100.4509,100.1452,100.546,101.7568,102.1629,100.9725,100
Funcionamiento de equipos de transporte personal,88.5222,95.8619,97.6905,99.1495,99.5189,99.5822,99.4456,99.7771,100
Transporte público,86.7736,93.3772,93.4028,94.2196,93.8362,95.202,95.5576,97.3951,100
Comunicaciones,80.0773,82.0829,84.0739,87.8567,90.6632,91.5041,90.7212,94.5213,100
Recreación y cultura,89.2969,91.3072,91.7896,95.7578,96.3118,97.6783,98.1813,99.1563,100
"Equipos audiovisuales, fotográficos y de procesamiento de la información",108.0979,110.1292,105.3948,109.6468,108.1385,106.0243,102.4983,101.2986,100
"Periódicos, diarios, revistas, libros y artículos de papelería",84.4807,86.969,88.9921,90.7146,93.9952,95.48,96.8526,98.0657,100
Educación,88.8901,91.9974,93.9262,96.1933,97.838,98.0276,99.0132,99.5182,100
Restaurantes y hoteles,82.5578,84.3768,86.8693,89.7079,90.5638,92.2985,94.1914,96.9479,100
Bienes y servicios varios,86.5057,88.6513,89.8747,91.6354,92.5606,94.9263,96.9199,98.655,100
Cuidado personal,87.234,89.9555,91.0293,93.2069,94.3098,95.7553,97.124,98.6304,100
,,,,,,,,,
"Nota: a partir del mes de junio de 2017, el INDEC adoptó el Clasificador del Consumo Individual por Finalidad (COICOP, por sus siglas en inglés: Classification of Individual Consumption According to Purpose) de Naciones Unidas, 1999.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Índices correspondientes a los meses de abril de 2016 a diciembre de 2016, según clasificación de grupos",,,,,,,,,
,,,,,,,,,
Apertura,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00
,,,,,,,,,
Nivel general,85.5254,89.1118,91.8528,93.7328,93.9221,95.0014,97.2428,98.8166,100
,,,,,,,,,
Estacionales,89.856,93.7059,96.2581,99.5762,95.2761,99.189,101.1247,101.5561,100
Núcleo,85.3797,87.6489,90.2893,91.9791,93.4982,94.9462,96.6551,98.3164,100
Regulados,84.0036,91.3453,94.4671,96.2589,94.5591,93.2777,97.2229,99.054,100
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Índices correspondientes a los meses de abril de 2016 a diciembre de 2016, según bienes y servicios",,,,,,,,,
,,,,,,,,,
Apertura,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00
,,,,,,,,,
Nivel general,85.5254,89.1118,91.8528,93.7328,93.9221,95.0014,97.2428,98.8166,100
,,,,,,,,,
Bienes ,86.5786,90.6974,92.6532,94.0201,94.7672,96.8993,98.2076,99.418,100
Servicios,83.9892,86.7991,90.6853,93.3136,92.6895,92.2331,95.8356,97.9394,100
,,,,,,,,,
"Fuente: INDEC, Dirección Nacional de Estadísticas de Precios, Dirección de Índices de Precios de Consumo ",,,,,,,,,
